society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score
silverglades the melia,flat,sohna road road,0.78,5777.0,2,2,3,9.0,Under Construction,1193.49084337,1,0,0,0,0,0,72
bhemerlei,flat,sohna road road,0.69,5100.0,2,2,2,3.0,Under Construction,1350.0,0,0,0,0,0,0,0
central park 2 bellevue,flat,sector 48,5.0,11627.0,3,4,3,14.0,Moderately Old,4492.87476151,0,0,0,0,0,0,82
independent,house,sector 7,0.45,5000.0,3,2,0,1.0,Old Property,1087.28845951,0,0,0,0,0,0,0
raheja navodaya,flat,sector 92,0.85,4271.0,3,3,3,2.0,Relatively New,1766.8347409700002,0,0,0,0,0,0,100
tulip ivory,flat,sector 70,2.35,9791.0,4,4,3+,10.0,Moderately Old,2589.75300451,0,1,0,0,0,1,65
independent,house,sector 50,6.5,21667.0,5,6,0,1.0,Moderately Old,3000.0,0,0,0,0,0,0,0
ats tourmaline,flat,sector 109,2.3,8897.0,3,4,3+,10.0,New Property,2299.8653957700003,0,1,0,0,1,0,74
bptp astaire gardens,flat,sector 70a,0.97,6587.0,3,3,3+,1.0,Relatively New,1309.95132257,0,0,0,0,1,0,149
saksham welfare association,house,sector 22,4.7,19847.0,6,6,3+,2.0,Old Property,2368.0,0,0,1,0,0,1,106
bestech park view city,flat,sector 49,3.0,12589.0,4,4,3,5.0,Moderately Old,2200.0,0,1,0,0,0,1,141
pyramid elite,flat,sector 86,0.45,7846.0,2,2,1,12.0,Under Construction,760.2526031876738,0,0,0,0,0,0,30
indiabulls centrum park,flat,sector 103,2.45,8521.0,4,6,3,5.0,Relatively New,2559.6618493700003,0,1,0,0,0,0,38
independent,house,sector 14,3.4,15111.0,3,3,3,1.0,Old Property,2250.0,0,0,0,0,0,0,32
emaar mgf palm hills,flat,sector 77,1.5,12744.0,3,3,3,4.0,Relatively New,1323.9097030950002,0,0,0,0,0,1,97
signature global synera,flat,sector 81,0.5,6802.0,2,2,3,6.0,Relatively New,700.0,0,0,0,0,0,0,117
independent,house,sector 26,13.5,29880.0,5,5,3+,2.0,Relatively New,4518.0,1,1,0,0,1,2,49
emaar palm gardens,flat,sector 83,1.6,8648.0,3,3,3+,6.0,Relatively New,1641.4157633700001,1,1,1,0,0,1,167
signature global solera,flat,sector 107,0.3,6134.0,2,2,1,5.0,Relatively New,599.504168615,0,0,0,0,0,0,57
bestech park view city,flat,sector 48,2.7,11713.0,3,3,3+,7.0,Relatively New,2000.0,1,1,0,0,0,1,174
ats triumph,flat,sector 104,2.3,10000.0,3,4,3+,15.0,New Property,2479.5722712100005,0,1,0,0,0,0,117
emaar mgf marbella,house,sector 66,18.0,40000.0,5,6,3+,3.0,Relatively New,4500.0,1,1,1,0,0,2,153
experion the heartsong,flat,sector 108,0.98,13343.0,2,3,3,12.0,Relatively New,978.223232,1,1,1,0,0,0,31
experion the heartsong,flat,sector 108,1.25,9259.0,3,3,3,1.0,Relatively New,1500.0,0,1,0,0,0,0,174
tulip violet,flat,sector 69,2.05,9950.0,4,4,2,0.0,Relatively New,1853.73217545,0,0,0,0,0,0,157
independent,house,sector 21,1.6,11852.0,5,5,2,3.0,Relatively New,120.0,0,0,0,0,0,0,0
signature global park 4,flat,sector 36 road,1.0,9900.0,3,2,3,2.0,New Property,1197.46919281,0,0,0,0,0,0,128
shree vardhman victoria,flat,sector 70,1.75,8974.0,3,4,2,16.0,Relatively New,1950.0,0,1,0,0,0,0,49
experion the heartsong,flat,sector 108,1.68,8387.0,3,3,3+,4.0,Relatively New,1338.29,1,1,0,0,0,1,86
nbcc heights,flat,sector 89,1.5,7058.0,3,3,3,8.0,Relatively New,1887.7744693700001,1,1,0,0,0,0,105
independent,house,sector 39,0.34,7555.0,1,1,1,1.0,Relatively New,450.0,0,0,0,0,0,0,0
hcbs sports ville,flat,sohna road road,0.22,3142.0,1,1,1,1.0,New Property,886.9598535100001,0,0,0,0,0,0,86
pyramid urban homes 2,flat,sector 86,0.42,8483.0,2,2,1,2.0,New Property,687.6328905400001,1,1,0,0,1,0,84
ats tourmaline,flat,sector 109,1.72,8000.0,3,4,3+,7.0,Relatively New,1797.0,0,1,0,0,0,0,167
bptp astaire gardens,flat,sector 70a,1.7,8947.0,4,3,3,1.0,Relatively New,2088.93148951,0,0,0,0,0,1,49
signature global park,house,sohna road road,0.85,7589.0,3,2,2,1.0,Under Construction,1120.0,0,0,0,0,0,0,15
the lions cghs,flat,sector 56,2.0,8333.0,4,4,3,8.0,Relatively New,2211.69663544,0,0,0,0,1,1,49
dlf regal gardens,flat,sector 90,1.23,7052.0,3,3,2,19.0,Relatively New,1546.4556803300002,0,0,0,0,1,0,6
supertech araville,flat,sector 79,0.9,6950.0,2,2,0,12.0,Relatively New,1295.0,0,0,0,0,0,0,0
shree vardhman victoria,flat,sector 70,1.6,8205.0,3,3,3,10.0,Relatively New,1539.8590188550002,1,1,0,0,1,0,43
rof ananda,flat,sector 95,0.26,6842.0,1,1,1,8.0,New Property,566.43408391,0,0,0,0,0,0,49
independent,house,sector 38,8.0,25616.0,10,10,3+,1.0,Moderately Old,3123.0,0,0,0,0,0,0,0
m3m sierra 68,flat,sector 68,1.2,9000.0,2,2,3,1.0,Relatively New,1020.4739321900001,0,0,0,0,0,2,76
unitech uniworld resorts,house,sector 33,8.0,11428.0,4,4,3+,2.0,Old Property,7000.0,1,1,1,0,0,0,77
dlf city plots phase 2,house,sector 25,10.55,39074.0,5,6,3+,3.0,Moderately Old,2700.0,1,1,1,0,0,0,131
satya the hermitage,flat,sector 103,0.8,5517.0,2,2,0,10.0,Relatively New,1450.0,0,0,0,0,0,0,61
ansals palam vihar,house,sector 2,5.7,14729.0,5,5,2,2.0,Old Property,4550.0,0,0,0,0,0,2,94
residency grand,flat,sector 52,5.0,7692.0,5,7,3+,1.0,Moderately Old,5394.353488510001,0,1,0,0,0,0,77
bestech park view grand spa,flat,sector 81,2.2,8270.0,3,4,3+,8.0,Relatively New,2428.3214176400006,0,1,0,0,0,1,165
godrej frontier,flat,sector 80,1.1,5705.0,3,3,3,8.0,Moderately Old,1580.0,0,1,0,0,0,0,111
hero homes,flat,dwarka expressway,1.6,7825.0,3,3,3,1.0,New Property,1497.18393913,0,0,0,0,0,0,49
dlf regency park,flat,sector 28,2.25,14516.0,3,3,2,16.0,Old Property,1700.0,0,1,0,0,0,0,89
independent,house,sector 105,1.1,12222.0,6,4,1,1.0,Moderately Old,1087.28845951,0,0,0,0,0,0,0
pioneer park,flat,sector 61,2.0,11764.0,3,3,3,24.0,Moderately Old,1507.03828737,0,0,0,0,0,1,75
independent,house,sector 7,2.0,13889.0,2,2,2,2.0,Old Property,1440.0,0,0,0,0,0,0,22
bhim nagar society,house,sector 6,0.4,2500.0,4,2,2,1.0,Moderately Old,1600.0,0,0,0,0,0,0,0
godrej aria,flat,sector 79,1.95,8519.0,3,4,3+,10.0,New Property,1671.6727061350002,0,1,0,0,0,0,32
signature global city 81,flat,sector 81,0.8,14652.0,2,2,2,4.0,Under Construction,732.70682689,1,0,0,0,0,0,36
independent,house,sector 26,6.0,33333.0,8,5,3+,3.0,Old Property,1800.0,0,0,0,0,0,1,9
signature global the millennia,flat,sector 37d,0.55,9166.0,2,2,3,3.0,New Property,521.60346337,0,0,0,0,0,0,53
signature global solera,flat,sector 107,0.5,7692.0,2,2,1,11.0,Relatively New,473.22757200999996,0,0,0,0,0,0,55
not applicable,house,sector 11,2.2,12222.0,4,3,2,1.0,Old Property,1800.0,1,0,0,0,0,0,24
mapsko mount ville,flat,sector 79,1.5,8264.0,3,4,3+,11.0,Relatively New,1434.48048940495,0,1,0,0,0,1,144
adani aangan arcade,flat,sector 88a,0.45,7200.0,2,2,1,3.0,New Property,811.8366262600001,0,0,0,0,0,0,14
dlf the skycourt,flat,sector 86,1.6,8294.0,3,3,3+,9.0,Relatively New,1548.0,0,0,0,0,1,1,167
bptp terra,flat,sector 37d,1.78,8124.0,4,3,3,10.0,Relatively New,1946.9005588100001,0,1,0,0,0,0,127
vipul tatvam villa,house,sector 48,8.4,21000.0,4,5,3+,2.0,Moderately Old,4000.0,1,1,0,0,0,1,49
raheja navodaya,flat,sector 92,0.62,4807.0,2,2,2,5.0,New Property,1498.0,0,0,0,0,0,0,0
independent,house,sector 46,2.2,24202.0,3,3,2,3.0,Old Property,909.0,0,0,1,0,0,1,56
saan verdante,flat,sector 95,2.0,10178.0,3,4,3+,5.0,New Property,1934.2137452650002,0,1,0,0,0,0,49
alpha corp gurgaonone,flat,sector 84,1.52,7904.0,3,4,3,15.0,Relatively New,1697.5435396,0,1,0,0,0,0,92
shapoorji pallonji joyville gurugram,flat,sector 102,2.15,12706.0,3,3,3,10.0,Relatively New,1690.0,0,0,0,0,0,1,49
raheja sampada,flat,sector 92,0.9,6569.0,3,2,3,11.0,Relatively New,1211.40784017,0,0,0,0,0,0,88
espire south,flat,sector 68,1.32,9050.0,2,2,2,9.0,New Property,1460.0,0,0,0,0,0,0,0
indiabulls enigma,flat,sector 110,4.0,9851.0,4,4,3,17.0,New Property,3350.0,0,0,0,0,0,0,59
independent,house,sector 3,0.8,8155.0,5,4,1,2.0,Moderately Old,981.0,0,0,0,0,0,0,0
eldeco accolade,flat,sohna road road,0.73,5775.0,2,2,3,5.0,Relatively New,1016.7284507700001,0,0,0,0,0,0,33
unitech uniworld resorts,house,sector 33,8.0,17778.0,6,5,3+,4.0,Relatively New,4500.0,0,0,0,0,0,0,0
ansals duplex flat,flat,sector 2,0.95,7307.0,2,3,2,1.0,Old Property,1487.9456715100002,1,0,0,0,0,1,20
emaar palm gardens,flat,sector 83,1.76,9263.0,3,3,3,6.0,Relatively New,1500.0,0,1,0,0,0,1,165
tata primanti,flat,sector 72,3.2,12190.0,4,4,3+,8.0,Moderately Old,2600.0,0,1,0,0,0,1,168
signature global city 63a,flat,sector 63a,1.65,15263.0,2,2,2,1.0,Under Construction,952.50723641,0,0,0,0,0,0,0
the close north,flat,sector 50,2.51,11992.0,3,3,3,11.0,Moderately Old,2093.0,0,0,1,0,0,1,109
indiabulls centrum park,flat,sector 103,2.45,8521.0,4,4,3,11.0,Relatively New,2559.6618493700003,1,1,1,0,0,0,38
dlf the grove,house,sector 54,5.7,23457.0,4,4,0,1.0,Moderately Old,2430.0,0,0,0,0,0,0,46
signature global the millennia 3,flat,sector 37d,0.5,7142.0,3,3,2,2.0,Under Construction,886.9598535100001,0,0,0,0,0,0,31
godrej nature plus,flat,sector 33 road,1.2,12000.0,2,2,3+,3.0,Under Construction,1187.45276251,0,0,0,0,0,0,105
mapsko casa bella,flat,sector 82,1.25,6377.0,3,4,3+,8.0,Under Construction,1739.95924577,0,0,0,0,0,0,54
mapsko paradise,flat,sector 83,0.75,5597.0,3,3,3,10.0,New Property,1185.99255374,0,0,0,0,1,1,49
orchid petals,flat,sector 49,2.35,11559.0,3,3,3,15.0,Relatively New,2030.0,0,0,0,0,1,0,49
capital residences 360,flat,sector 70a,1.64,8299.0,3,3,3+,4.0,New Property,1950.0,0,1,0,0,0,0,144
shapoorji pallonji joyville gurugram,flat,sector 102,1.4,10378.0,2,2,2,11.0,New Property,1190.02387802,0,0,0,0,0,1,49
smart world gems,flat,sector 89,1.0,9007.0,2,2,3,3.0,New Property,1297.63349581,1,0,0,0,1,0,99
independent,house,sector 12,0.9,13333.0,4,4,0,2.0,Old Property,675.0,0,0,0,0,0,0,0
m3m skywalk,flat,sector 74,2.25,13636.0,3,3,2,9.0,Relatively New,1938.0,0,1,0,0,0,1,174
huda plots,house,sector 56,2.95,20359.0,2,2,2,1.0,Moderately Old,1449.0,0,0,0,0,0,0,31
ss the leaf,flat,sector 85,1.98,8256.0,3,4,3,12.0,Relatively New,2399.0,0,0,1,0,0,0,174
dlf new town heights,flat,sector 90,1.9,6967.0,4,4,3+,19.0,Relatively New,2458.33238728,0,1,1,0,0,1,174
m3m woodshire,flat,sector 107,1.35,5717.0,3,4,3+,8.0,Relatively New,1950.0,0,1,0,0,0,1,74
independent,house,sector 12,2.75,12343.0,6,6,2,2.0,Old Property,2228.0,0,0,0,0,0,0,0
la vida by tata housing,flat,sector 113,1.65,10449.0,3,2,2,3.0,Relatively New,1420.0,0,0,0,0,0,0,49
mapsko mount ville,flat,sector 79,1.55,8539.0,3,4,3,11.0,Relatively New,1434.48048940495,0,1,0,0,0,1,152
vatika city,flat,sector 49,2.65,11770.0,3,4,3,11.0,Moderately Old,2251.0,0,1,0,0,0,1,140
m3m merlin,flat,sector 67,3.32,14079.0,3,4,3,8.0,New Property,2358.0,0,1,0,0,0,1,174
sbtl caladium,flat,sector 109,1.2,6382.0,3,2,2,8.0,Relatively New,1668.29125857,0,0,0,0,0,0,151
shree vardhman flora,flat,sector 90,0.92,4717.0,3,3,2,6.0,Relatively New,2139.0136410100004,1,0,0,0,0,1,49
international city by sobha phase 1,house,sector 109,5.9,24280.0,4,5,2,2.0,Relatively New,2430.0,0,1,0,0,0,1,111
dlf the skycourt,flat,sector 86,1.54,9221.0,3,3,3+,15.0,Relatively New,1780.0,0,1,0,0,0,0,174
baani city center,flat,sector 63,0.88,10945.0,1,1,2,4.0,New Property,804.0,0,0,0,0,0,0,0
independent,house,sector 43,14.0,39886.0,9,9,3+,4.0,Moderately Old,3510.0,0,1,0,0,0,0,7
ansal heights 86,flat,sector 86,1.25,7396.0,3,2,1,2.0,New Property,1498.0797889700002,0,0,0,0,0,0,100
shree vardhman victoria,flat,sector 70,1.15,8518.0,2,2,3,8.0,Relatively New,1193.49084337,1,0,0,0,1,0,49
independent,house,sector 31,3.69,23699.0,4,4,2,2.0,Moderately Old,1557.0,1,1,0,0,0,1,75
zara aavaas,flat,sector 104,0.49,6577.0,3,2,2,7.0,Under Construction,741.6855885150001,0,0,0,0,0,0,74
tulip violet,flat,sector 69,1.55,9822.0,3,3,2,0.0,Relatively New,1397.7446068900001,0,0,0,0,0,1,129
unitech vistas,flat,sector 70,0.99,6325.0,3,4,2,11.0,Under Construction,1386.09855897,0,0,0,0,0,0,0
emaar palm gardens,flat,sector 83,1.75,9210.0,3,3,3,6.0,Relatively New,1600.0,0,1,0,0,0,1,174
smart world orchard,flat,sector 61,1.47,12250.0,2,2,2,2.0,Under Construction,1387.7813685100002,1,0,0,0,0,0,76
dlf city plots phase 2,house,sector 25,4.25,31481.0,3,2,3,2.0,Old Property,1350.0,1,0,0,0,0,0,35
ats kocoon,flat,sector 109,1.7,9742.0,3,3,3,21.0,Moderately Old,1550.0,0,0,0,0,0,0,49
dlf regal gardens,flat,sector 90,1.65,7449.0,4,4,3+,15.0,Relatively New,2214.0,0,0,0,0,0,0,158
independent,house,sector 50,7.0,23333.0,4,4,2,3.0,Old Property,3400.0,0,1,0,0,0,0,118
unitech uniworld resorts,house,sector 33,11.5,24573.0,5,6,3+,4.0,Relatively New,4680.0,0,1,0,0,0,0,84
godrej summit,flat,sector 104,0.75,5910.0,2,2,3,6.0,Relatively New,1120.92700633,0,0,0,0,1,0,79
independent,house,sector 12,3.5,14787.0,8,8,3+,3.0,Relatively New,4800.0,1,1,0,0,0,2,77
unitech uniworld resorts,house,sector 33,9.5,23333.0,5,7,3+,2.0,Under Construction,4071.0,1,1,1,0,0,0,57
signature global park,flat,sohna road road,0.9,8036.0,3,2,0,2.0,Under Construction,1120.0,0,0,0,0,0,0,58
corona gracieux,flat,sector 76,1.46,5500.0,4,6,3+,8.0,New Property,2358.0956353700003,0,1,0,0,0,0,58
eden landmark,flat,manesar,0.5,3847.0,2,2,0,7.0,Under Construction,1300.0,0,0,0,0,0,0,0
independent,house,sector 21,0.45,8411.0,3,2,1,1.0,Old Property,721.68875356,0,0,0,0,0,0,0
tulip violet,flat,sector 69,1.19,8814.0,2,3,1,0.0,Relatively New,1538.0278230100002,1,0,0,0,0,0,174
hsiidc sidco aravali,flat,manesar,0.81,3129.0,3,3,3+,2.0,Moderately Old,1900.0,0,1,0,0,0,0,74
ashiana mulberry,flat,sohna road road,0.95,6485.0,2,2,3+,3.0,New Property,1175.97,1,0,0,0,0,0,89
dlf city plots phase 2,house,sector 25,7.5,31686.0,9,9,3+,4.0,Relatively New,2314.2385,1,1,0,0,0,1,160
dlf the crest,flat,sector 54,11.0,35223.0,4,6,3,7.0,Relatively New,2781.83260969,0,1,0,0,0,2,125
the penthouses at the hibiscus,flat,sector 50,8.5,8500.0,4,4,3,9.0,Moderately Old,10202.240032510002,0,1,0,0,0,0,35
ansal api celebrity suites,flat,sector 2,0.6,8163.0,1,1,1,5.0,Moderately Old,642.54319177,0,0,0,0,0,1,67
paras dews,flat,sector 106,1.25,10656.0,3,4,3,14.0,Relatively New,1305.0,1,1,0,0,0,0,167
independent,house,sector 54,3.51,12342.0,4,4,3,4.0,New Property,2844.0,0,1,0,0,0,0,73
dlf royalton tower,flat,sector 43,6.5,22108.0,4,5,2,8.0,Relatively New,2617.8920889700003,0,1,0,0,0,0,15
suncity vatsal valley,flat,gwal pahari,1.28,9552.0,3,3,3,1.0,Relatively New,1528.01139271,0,0,0,0,0,1,49
signature global city 37d ph 2,flat,sector 37d,1.36,8846.0,3,3,3,1.0,Under Construction,1535.0,0,0,0,0,1,0,37
m3m woodshire,flat,sector 107,1.01,7394.0,2,2,3+,11.0,New Property,1200.0,0,0,0,0,1,0,74
orchid petals,flat,sector 49,2.51,12178.0,3,3,3+,7.0,Old Property,2061.0,1,0,0,0,0,1,72
conscient elevate,flat,sector 59,4.02,17500.0,3,3,1,3.0,Under Construction,2484.5804863600006,0,0,0,0,0,0,31
godrej nature plus,flat,sector 33 road,1.62,13974.0,3,4,3+,3.0,New Property,129.42,0,1,0,0,0,0,100
dlf new town heights,flat,sector 86,1.27,6580.0,3,4,3,19.0,Relatively New,1800.0,0,1,0,0,0,0,126
kiran residency,flat,sector 56,1.55,6888.0,3,3,3+,5.0,Moderately Old,1900.0,0,1,0,0,0,1,92
bestech park view grand spa,flat,sector 81,3.3,12222.0,4,5,3+,4.0,Relatively New,2991.4692088400006,1,1,0,0,0,1,174
dlf city plots phase 2,house,sector 25,10.5,29022.0,4,4,2,2.0,Old Property,3618.0,0,1,0,0,0,1,91
eldeco accolade,flat,sohna road road,0.66,5181.0,2,2,3,12.0,Relatively New,1016.7284507700001,0,0,0,0,0,0,49
independent,house,sector 4,4.12,8889.0,2,1,3+,2.0,Moderately Old,4635.0,0,0,0,0,0,0,0
m3m woodshire,flat,sector 107,1.49,6310.0,3,4,3+,5.0,Relatively New,2099.19503161,0,1,1,0,0,1,174
independent,house,sector 49,4.5,15625.0,8,8,3,3.0,Moderately Old,2880.0,1,1,1,0,0,2,151
corona optus,flat,sector 37c,1.25,7175.0,3,3,3,2.0,Relatively New,1563.2515031400003,1,0,0,0,0,0,49
independent,house,sector 6,0.66,10784.0,3,2,1,2.0,Old Property,612.0,0,0,0,0,0,0,36
pareena coban residences,flat,sector 99a,1.13,5658.0,3,5,3,5.0,Relatively New,1790.0,0,1,0,0,1,0,49
shree vardhman victoria,flat,sector 70,1.1,8461.0,2,2,2,8.0,Relatively New,1487.9456715100002,0,0,0,0,0,0,101
sare crescent parc,flat,sector 92,0.92,4854.0,4,5,3+,14.0,Moderately Old,1895.0,0,0,0,0,0,1,131
bptp pedestal,flat,sector 70a,1.6,10158.0,3,3,3,2.0,New Property,1763.3975047600002,0,1,0,0,1,0,77
emaar mgf marbella,house,sector 66,9.0,21251.0,4,4,3+,2.0,Relatively New,5200.0,0,1,1,0,0,1,114
city shri ram apartments 1,flat,sector 110,0.22,3666.0,2,1,1,1.0,Relatively New,521.60346337,0,0,0,0,0,0,0
independent,house,sector 57,3.6,20833.0,4,4,2,2.0,Old Property,1728.0,1,1,1,0,0,0,110
independent,house,sector 108,1.34,5000.0,1,1,0,1.0,Relatively New,2680.0,0,0,0,0,0,0,0
independent,house,sector 43,8.49,31444.0,3,3,2,4.0,Relatively New,2700.0,0,1,0,0,0,1,21
hsiidc sidco shivalik apartments,flat,manesar,0.85,5102.0,3,2,2,5.0,Moderately Old,1476.5793928100002,0,0,0,0,0,0,0
ashiana anmol,flat,sohna road road,0.99,8215.0,2,2,2,6.0,Under Construction,1075.4405380399999,0,0,0,0,0,0,49
vipul tatvam villa,house,sector 48,18.5,26429.0,4,4,1,1.0,Moderately Old,7000.0,0,0,0,0,0,0,30
godrej habitat,flat,sector 3,1.35,12784.0,2,2,0,4.0,Old Property,1056.0,0,0,0,0,0,0,60
capital residences 360,flat,sector 70a,1.69,8552.0,3,3,3+,8.0,New Property,1900.0,0,1,0,0,0,0,165
bestech park view residency,flat,sector 2,1.55,8072.0,3,4,3+,10.0,Moderately Old,1704.12525217,0,1,0,0,0,0,100
suncity essel towers,house,sector 28,6.0,22222.0,4,4,3+,3.0,Old Property,2700.0,1,0,0,0,0,1,89
experion windchants,house,sector 112,7.46,10260.0,4,4,3+,2.0,Relatively New,6350.0,0,1,0,0,0,1,62
emaar palm premier,flat,sector 77,2.1,10500.0,3,4,3+,11.0,New Property,1600.0,0,1,0,0,0,1,129
emaar palm gardens,flat,sector 83,1.55,9011.0,3,3,3,4.0,Relatively New,1400.0,0,1,0,0,0,1,174
independent,house,sector 14,5.0,22222.0,3,3,3,1.0,Moderately Old,2250.0,0,0,0,0,0,0,25
experion the heartsong,flat,sector 108,1.6,7988.0,3,4,3+,3.0,Relatively New,1500.29,0,1,0,0,0,1,60
arjun marg/ sector- 26 phase- 1/ golf course road,house,sector 26,31.5,35000.0,7,9,3+,3.0,Moderately Old,9000.0,1,1,1,0,0,2,74
independent,house,sector 82,7.5,23148.0,5,5,3+,2.0,Relatively New,3240.0,0,1,0,0,0,1,135
meditech apartment,flat,sector 56,2.45,8166.0,4,4,3+,1.0,Relatively New,2900.0,0,0,0,0,1,1,118
not applicable,house,sector 4,0.65,13000.0,2,1,1,3.0,Moderately Old,500.0,0,0,0,0,0,0,7
malibu towne,house,sector 47,8.81,27191.0,8,6,3+,3.0,Moderately Old,3240.0,1,1,0,0,1,1,27
unitech uniworld resorts,house,sector 33,11.75,23240.0,5,7,3+,3.0,Relatively New,5056.0,0,1,0,0,0,0,80
tulip violet,flat,sector 69,3.25,10105.0,4,5,3+,14.0,Relatively New,2865.14664481,0,0,0,0,1,0,20
independent,house,sohna road road,5.5,5093.0,3,3,3+,2.0,Moderately Old,3500.0,1,1,0,0,1,0,49
supertech araville,flat,sector 79,0.8,5266.0,2,2,2,12.0,New Property,1707.3054950800001,1,0,0,0,0,0,49
adani m2k oyster grande,flat,sector 102,2.5,7817.0,4,5,3+,5.0,Relatively New,2849.0213476900003,0,1,0,0,0,0,76
m3m skywalk,flat,sector 74,1.5,12500.0,2,2,3,17.0,Relatively New,1300.0,0,0,1,0,0,0,174
m3m skycity,flat,sector 65,3.0,16411.0,3,3,3,17.0,Under Construction,1828.0,0,0,0,0,0,0,99
dlf icon,flat,sector 43,5.8,20707.0,4,4,3+,18.0,Old Property,2801.0,0,0,0,0,0,0,0
m3m golfestate,flat,sector 65,5.0,16666.0,3,3,3,2.0,Relatively New,3245.0,0,1,0,0,0,1,174
independent,house,sector 2,1.0,8230.0,9,7,3+,3.0,Moderately Old,1215.0,0,0,0,0,0,0,0
u block dlf phase 3 road no 21,house,sector 24,1.6,3292.0,7,5,3+,4.0,Old Property,540.0,0,0,0,0,0,0,0
independent,house,sector 25,10.0,37037.0,5,5,3+,3.0,Moderately Old,9500.0,0,1,0,0,0,2,29
ats kocoon,flat,sector 109,1.7,12878.0,3,3,3,22.0,Relatively New,1550.0,0,0,0,0,0,0,103
tulip violet,flat,sector 69,1.44,9125.0,3,3,2,1.0,Relatively New,1392.7629877000002,0,0,0,0,0,0,174
orris aster court premier,flat,sector 85,1.25,5896.0,3,4,2,5.0,Relatively New,1900.0,0,1,0,0,0,1,174
vatika xpressions,flat,sector 88b,0.92,6815.0,2,2,3,3.0,New Property,1350.0,0,0,0,0,0,0,26
puri diplomatic greens,flat,sector 111,2.58,11727.0,3,4,2,9.0,Relatively New,2200.0,0,1,0,0,0,0,101
sidhartha ncr one,flat,sector 95,0.57,4179.0,2,2,2,10.0,New Property,1364.0,0,0,0,0,0,0,0
ats kocoon,flat,sector 109,1.75,10028.0,3,3,3,10.0,Relatively New,1550.0,0,0,0,0,0,1,49
shri balaji apartment,flat,sector 12,0.35,4037.0,2,2,1,1.0,Moderately Old,737.0,0,0,0,0,0,0,23
independent,house,sector 105,0.37,8222.0,2,2,1,1.0,Moderately Old,450.0,0,0,0,0,1,0,0
corona optus,flat,sector 37c,1.2,6916.0,3,4,3,8.0,Relatively New,1635.0,0,0,0,0,0,0,149
hcbs sports ville,flat,sohna road road,0.29,3970.0,2,2,1,4.0,Relatively New,743.0,0,0,0,0,0,0,0
unitech espace,house,sector 50,10.45,32253.0,5,7,3+,3.0,Moderately Old,3240.0,1,1,0,0,1,1,153
adani m2k oyster grande,flat,sector 102,4.55,10000.0,4,4,3+,11.0,Relatively New,4630.0,0,0,0,0,0,1,60
ss the leaf,flat,sector 85,2.3,8179.0,4,4,3+,8.0,Relatively New,2503.22330945,0,1,0,0,0,0,21
eldeco accolade,flat,sohna road road,0.78,6170.0,2,2,2,3.0,Relatively New,1116.4477571300001,0,0,0,0,0,0,72
eros rosewood villas,house,sector 49,2.8,15555.0,3,3,3,2.0,Moderately Old,1800.0,0,0,0,0,0,0,68
gls arawali homes,flat,sohna road road,0.35,7000.0,2,2,2,5.0,Relatively New,556.0,0,0,0,0,0,0,30
satya the hermitage,flat,sector 103,0.93,6404.0,2,3,3,3.0,Relatively New,1640.1954120700002,0,1,0,0,0,1,90
shapoorji pallonji joyville gurugram,flat,sector 102,1.41,10307.0,2,2,3,0.0,Relatively New,1209.6161404900001,0,0,0,0,1,0,49
vatika lifestyle homes,flat,sector 83,1.05,5982.0,3,3,2,14.0,Relatively New,1556.3100285700002,1,1,1,0,0,1,174
signature global solera,flat,sector 107,0.28,5725.0,2,2,2,10.0,Relatively New,675.61317418,0,0,0,0,0,0,38
mapsko royale ville,flat,sector 82,0.99,5530.0,3,4,2,14.0,New Property,1587.66477297,0,1,0,0,0,0,95
raheja atharva,flat,sector 109,1.6,5319.0,4,1,0,0.0,New Property,3008.0,0,0,0,0,0,0,0
dlf city plots phase 3,flat,sector 24,6.5,18571.0,4,5,3+,3.0,New Property,3691.56033751,0,1,0,0,0,2,42
independent,house,sector 6,1.25,11574.0,5,5,1,2.0,New Property,120.0,0,0,0,0,0,0,0
m3m golfestate,flat,sector 65,4.94,16233.0,3,4,3,15.0,Moderately Old,2710.16462249,0,1,0,0,0,0,165
vipul lavanya,flat,sector 81,1.28,7174.0,3,3,3,1.0,Moderately Old,1972.7408980300002,0,1,0,0,0,1,49
kendriya vihar,flat,sector 56,0.47,7768.0,1,1,1,3.0,Old Property,791.8037656600001,0,0,0,0,0,1,52
independent,house,sector 26,4.45,35178.0,4,4,3,3.0,Old Property,1265.0,0,0,0,0,0,0,25
dlf city phase 1,house,sector 26,5.5,30556.0,4,4,3+,2.0,Moderately Old,1800.0,0,0,1,0,0,0,49
godrej aria,flat,sector 79,1.7,7426.0,3,4,3+,6.0,New Property,1671.6727061350002,0,1,0,0,0,0,81
bestech park view grand spa,flat,sector 81,2.4,9022.0,3,4,3+,8.0,New Property,2367.05413377,1,1,0,0,0,1,167
jammu and kashmir bank employees cghs,flat,sector 9a,0.94,6064.0,3,3,2,5.0,Moderately Old,1738.35642901,0,0,0,0,0,1,85
unitech the palms,flat,sector 41,2.75,16768.0,3,3,2,14.0,Old Property,1640.0,0,0,0,0,0,2,79
dlf city phase 1,house,sector 26,5.5,30556.0,4,4,3,2.0,Moderately Old,1800.0,1,1,0,0,0,0,69
